Jogador,Posicao,Time,Arquivo
Durval,Zagueiro,Sport,./Graficos/Durval_Sport_Zagueiro.html
Juan,Zagueiro,Flamengo,./Graficos/Juan_Flamengo_Zagueiro.html
Ronaldo Alves,Zagueiro,Sport,./Graficos/Ronaldo Alves_Sport_Zagueiro.html
Eduardo,Lateral,Bahia,./Graficos/Eduardo_Bahia_Lateral.html
Leandro Pereira,Atacante,Sport,./Graficos/Leandro Pereira_Sport_Atacante.html
Igor,Zagueiro,Sport,./Graficos/Igor_Sport_Zagueiro.html
Betão,Zagueiro,Avaí,./Graficos/Betão_Avaí_Zagueiro.html
Jorginho,Meia,Atlético-GO,./Graficos/Jorginho_Atlético-GO_Meia.html
Carlos Alberto,Meia,Atlético-PR,./Graficos/Carlos Alberto_Atlético-PR_Meia.html
Thomaz,Meia,São Paulo,./Graficos/Thomaz_São Paulo_Meia.html
Matheus Ribeiro,Lateral,Santos,./Graficos/Matheus Ribeiro_Santos_Lateral.html
Fernandinho,Lateral,Ponte Preta,./Graficos/Fernandinho_Ponte Preta_Lateral.html
Elton,Meia,Ponte Preta,./Graficos/Elton_Ponte Preta_Meia.html
Airton,Meia,Botafogo,./Graficos/Airton_Botafogo_Meia.html
Lucas Fonseca,Zagueiro,Bahia,./Graficos/Lucas Fonseca_Bahia_Zagueiro.html
Bruno,Lateral,São Paulo,./Graficos/Bruno_São Paulo_Lateral.html
Andrezinho,Meia,Vasco,./Graficos/Andrezinho_Vasco_Meia.html
Deivid,Meia,Atlético-PR,./Graficos/Deivid_Atlético-PR_Meia.html
Emerson Sheik,Atacante,Ponte Preta,./Graficos/Emerson Sheik_Ponte Preta_Atacante.html
Reginaldo,Zagueiro,Fluminense,./Graficos/Reginaldo_Fluminense_Zagueiro.html
Fabiano,Lateral,Palmeiras,./Graficos/Fabiano_Palmeiras_Lateral.html
Renato,Lateral,Fluminense,./Graficos/Renato_Fluminense_Lateral.html
Manga Escobar,Atacante,Vasco,./Graficos/Manga Escobar_Vasco_Atacante.html
Alex Silva,Lateral,Atlético-MG,./Graficos/Alex Silva_Atlético-MG_Lateral.html
Lucão,Zagueiro,São Paulo,./Graficos/Lucão_São Paulo_Zagueiro.html
Adilson,Meia,Atlético-MG,./Graficos/Adilson_Atlético-MG_Meia.html
Léo,Lateral,Coritiba,./Graficos/Léo_Coritiba_Lateral.html
Andrei Girotto,Meia,Chapecoense,./Graficos/Andrei Girotto_Chapecoense_Meia.html
Jeferson,Lateral,Ponte Preta,./Graficos/Jeferson_Ponte Preta_Lateral.html
Kelvin,Atacante,Vasco,./Graficos/Kelvin_Vasco_Atacante.html
Michel Bastos,Meia,Palmeiras,./Graficos/Michel Bastos_Palmeiras_Meia.html
Montillo,Meia,Botafogo,./Graficos/Montillo_Botafogo_Meia.html
Leandro Donizete,Meia,Santos,./Graficos/Leandro Donizete_Santos_Meia.html
Lucas Silva,Meia,Cruzeiro,./Graficos/Lucas Silva_Cruzeiro_Meia.html
Gastón Fernández,Meia,Grêmio,./Graficos/Gastón Fernández_Grêmio_Meia.html
Cícero,Meia,São Paulo,./Graficos/Cícero_São Paulo_Meia.html
Tiago Real,Meia,Coritiba,./Graficos/Tiago Real_Coritiba_Meia.html
Juan,Meia,Avaí,./Graficos/Juan_Avaí_Meia.html
Alan Santos,Meia,Coritiba,./Graficos/Alan Santos_Coritiba_Meia.html
Matheus Fernandes,Meia,Botafogo,./Graficos/Matheus Fernandes_Botafogo_Meia.html
Marcinho,Atacante,São Paulo,./Graficos/Marcinho_São Paulo_Atacante.html
Fred,Zagueiro,Vitória,./Graficos/Fred_Vitória_Zagueiro.html
Élber,Meia,Cruzeiro,./Graficos/Élber_Cruzeiro_Meia.html
Paulão,Zagueiro,Vasco,./Graficos/Paulão_Vasco_Zagueiro.html
Gabriel Xavier,Meia,Vitória,./Graficos/Gabriel Xavier_Vitória_Meia.html
Raphael Veiga,Meia,Palmeiras,./Graficos/Raphael Veiga_Palmeiras_Meia.html
Luis Caicedo,Zagueiro,Cruzeiro,./Graficos/Luis Caicedo_Cruzeiro_Zagueiro.html
Kayke,Atacante,Santos,./Graficos/Kayke_Santos_Atacante.html
Sander,Lateral,Sport,./Graficos/Sander_Sport_Lateral.html
Jandrei,Goleiro,Chapecoense,./Graficos/Jandrei_Chapecoense_Goleiro.html
Neilton,Atacante,Vitória,./Graficos/Neilton_Vitória_Atacante.html
Léo Santos,Zagueiro,Corinthians,./Graficos/Léo Santos_Corinthians_Zagueiro.html
Matheus Reis,Lateral,Bahia,./Graficos/Matheus Reis_Bahia_Lateral.html
Erik,Atacante,Palmeiras,./Graficos/Erik_Palmeiras_Atacante.html
Wendel,Meia,Ponte Preta,./Graficos/Wendel_Ponte Preta_Meia.html
Breno Lopes,Lateral,Atlético-GO,./Graficos/Breno Lopes_Atlético-GO_Lateral.html
Léo,Lateral,Fluminense,./Graficos/Léo_Fluminense_Lateral.html
Lugano,Zagueiro,São Paulo,./Graficos/Lugano_São Paulo_Zagueiro.html
Matheus Rossetto,Meia,Atlético-PR,./Graficos/Matheus Rossetto_Atlético-PR_Meia.html
Ederson,Meia,Flamengo,./Graficos/Ederson_Flamengo_Meia.html
Alex Muralha,Goleiro,Flamengo,./Graficos/Alex Muralha_Flamengo_Goleiro.html
Lucas Fernandes,Atacante,Fluminense,./Graficos/Lucas Fernandes_Fluminense_Atacante.html
João Schmidt ,Meia,São Paulo,./Graficos/João Schmidt _São Paulo_Meia.html
Guilherme,Atacante,Botafogo,./Graficos/Guilherme_Botafogo_Atacante.html
Paulo André,Zagueiro,Atlético-PR,./Graficos/Paulo André_Atlético-PR_Zagueiro.html
Marcelo,Zagueiro,Botafogo,./Graficos/Marcelo_Botafogo_Zagueiro.html
Lennon,Lateral,Cruzeiro,./Graficos/Lennon_Cruzeiro_Lateral.html
